did,diagnose,pid
"1","Abdominal aortic aneurysm: (enlarged major blood vessel)","Stopping smoking may slow their growth. Small ones may only need monitoring. Aneurysms that are too large or growing too quickly should be repaired with surgery."
"2","Abdominal swelling","Eating smaller meals may help prevent bloating and swelling. Administer diuretics."
"3","Abdominal trauma","Surgery"
"4","Abrasions:  (scrapes)","Clean the wound(for mild abrasions, Surgery for extreme abrasions"
"5","ACE inhibitor induced cough: blood pressure medication side effect: Drug-induced cough: Drug reaction: ACE inhibitor","Stopping the therapy in which ACE inhibitors are used."
"6","acetaminophen overdose: Adverse reaction to acetaminophen","Medications that help remove the acetaminophen from the body or lessen its harmful effects. Stomach pumping may also be necessary."
"7","Tylenol : acetaminophen Poisoning","Medications that help remove the acetaminophen from the body or lessen its harmful effects. Stomach pumping may also be necessary."
"8","Achilles tendonitis:  (heel tendon inflammation)","RICE (Rest, Ice, Compression, Elevation), Rest and Physical exercise"
"9","Achilles tendon rupture: (heel tendon tear)","Surgery"
"10","Acid : LSD abuse","Therapy, have been proven to help hallucinogenic dependency. Relapse prevention, Support groups such as Narcotics Anonymous (NA) are also effective."
"11","Acidosis:  (excessive acid in the body)","Treatment of uncompensated metabolic acidosis. Neutralizing the acidosis with infusions of bicarbonate."
"12","Acoustic neuroma: (ear nerve tumor)","The tumour may just require monitoring. When treatment is required, it may include radiation or surgical removal."
"13","AC joint separation: acromioclavicular joint separation: closed separation of acromioclavicular joint","Pain and anti-inflammatory medications alongwith rest and protective sling(mild cases). Early surgical reconstruction(severe)."
"14","Acute angle closure glaucoma: increased inner eye pressure","Glaucoma medication, Beta blocker, Laser surgery."
"15","Acute fatty liver of pregnancy","Supportive care and expeditious delivery."
"16","Adenoiditis: (a type of lymph node inflammation)","Antibiotics, virus specific drug, surgery"
"17","Adenovirus infection:  (virus infection)","Drink lots of water. It usually goes away on its own."
"18","Frozen shoulder:  (adhesive capsulitis of shoulder)","Excercise, Injecting corticosteroids and numbing medication into the joint capsule. Surgery(severe)."
"19","Adjustment disorder:  (poor adjustment to life stressor)","Psychotherapy, medications(antidepressants and anti-anxiety drugs) or both."
"20","Alcohol : ethanol intoxication","Rest, hydration and stopping alcohol use. Intravenous fluids, observation and supportive care(severe)."
"21","Alcohol : ethanol abuse","Support groups, therapy."
"22","Alcohol : ethanol poisoning:  (overdose)","Rest, hydration and stopping alcohol use. Intravenous fluids, observation and supportive care(severe)."
"23","Alcohol withdrawal syndrome:  (mild)","Anxiolytic, Sedative, Vitamin"
